地區,年,週,max_temp,min_temp,average_temp
臺北,2009,53,18.2,14.4,16.241666666666667
臺北,2010,1,18.32857142857143,14.042857142857143,15.717857142857142
臺北,2010,2,17.04285714285714,11.428571428571429,14.413690476190476
臺北,2010,3,22.042857142857144,15.914285714285713,18.905357142857145
臺北,2010,4,21.557142857142853,16.142857142857142,18.567261904761903
臺北,2010,5,19.542857142857144,16.17142857142857,17.641666666666662
臺北,2010,6,23.028571428571432,15.114285714285714,18.474999999999998
臺北,2010,7,14.328571428571431,11.242857142857142,12.830357142857142
臺北,2010,8,25.04285714285714,17.400000000000002,21.000595238095237
臺北,2010,9,25.442857142857143,18.542857142857144,21.405357142857138
臺北,2010,10,20.25714285714286,13.542857142857143,16.70297619047619
臺北,2010,11,24.228571428571428,17.08571428571429,20.36231884057971
臺北,2010,12,22.657142857142862,16.95714285714286,19.442857142857143
臺北,2010,13,23.685714285714287,17.4,20.276190476190475
臺北,2010,14,22.28571428571429,17.242857142857144,19.520238095238096
臺北,2010,15,22.885714285714283,16.88571428571429,19.61845238095238
臺北,2010,16,26.685714285714283,19.357142857142858,22.67142857142857
臺北,2010,17,26.071428571428573,19.12857142857143,22.707738095238092
臺北,2010,18,28.157142857142855,23.071428571428573,25.302380952380954
臺北,2010,19,25.785714285714285,21.25714285714286,23.183928571428567
臺北,2010,20,31.32857142857143,24.88571428571429,27.64404761904762
臺北,2010,21,27.800000000000004,22.671428571428574,25.35178571428571
臺北,2010,22,24.942857142857147,20.714285714285715,22.76190476190476
臺北,2010,23,27.52857142857143,22.642857142857142,24.728571428571428
臺北,2010,24,31.157142857142862,25.41428571428571,28.117261904761907
臺北,2010,25,31.97142857142857,25.357142857142854,27.651190476190475
臺北,2010,26,34.1,27.52857142857143,30.41428571428571
臺北,2010,27,34.8,28.842857142857145,31.456547619047623
臺北,2010,28,33.15714285714286,27.385714285714283,30.02202380952381
臺北,2010,29,33.35714285714286,27.614285714285717,29.96428571428571
臺北,2010,30,32.8,26.557142857142857,29.267857142857146
臺北,2010,31,33.32857142857143,27.757142857142856,30.410119047619045
臺北,2010,32,33.74285714285714,27.014285714285712,29.851190476190474
臺北,2010,33,33.24285714285714,27.62857142857143,30.13154761904762
臺北,2010,34,33.728571428571435,27.82857142857143,30.40595238095238
臺北,2010,35,30.8,26.47142857142857,28.413095238095234
臺北,2010,36,32.42857142857143,27.0,29.33690476190476
臺北,2010,37,31.61428571428571,26.24285714285714,28.870833333333334
臺北,2010,38,31.25714285714286,25.314285714285713,28.065476190476186
臺北,2010,39,30.985714285714288,25.099999999999998,27.83214285714286
臺北,2010,40,26.6,23.300000000000004,24.85
臺北,2010,41,28.857142857142858,24.671428571428574,26.55416666666667
臺北,2010,42,26.97142857142857,23.871428571428574,25.36785714285714
臺北,2010,43,21.057142857142857,18.228571428571428,19.53690476190476
臺北,2010,44,22.814285714285717,20.314285714285713,21.539285714285715
臺北,2010,45,24.099999999999998,19.7,21.98690476190476
臺北,2010,46,22.571428571428566,19.12857142857143,20.67440476190476
臺北,2010,47,21.914285714285715,18.599999999999998,20.11785714285714
臺北,2010,48,24.099999999999998,19.37142857142857,21.348214285714285
臺北,2010,49,21.114285714285717,14.657142857142857,17.719642857142862
臺北,2010,50,19.54285714285714,13.642857142857142,16.40416666666667
臺北,2010,51,19.457142857142856,13.999999999999998,16.670238095238094
臺北,2010,52,17.716666666666665,10.683333333333332,14.2125
臺北,2011,1,15.799999999999999,12.042857142857143,14.054761904761904
臺北,2011,2,14.528571428571427,10.314285714285715,12.319642857142856
臺北,2011,3,17.057142857142857,13.514285714285714,15.386309523809526
臺北,2011,4,15.085714285714287,12.785714285714286,13.951785714285714
臺北,2011,5,18.52857142857143,13.22857142857143,15.797023809523807
臺北,2011,6,19.54285714285714,14.514285714285714,16.757142857142856
臺北,2011,7,16.7,13.099999999999998,14.523214285714285
臺北,2011,8,21.2,16.171428571428574,18.64404761904762
臺北,2011,9,18.585714285714285,13.514285714285714,15.695833333333335
臺北,2011,10,17.471428571428568,13.642857142857142,15.377380952380955
臺北,2011,11,21.1,15.228571428571428,18.074404761904763
臺北,2011,12,16.314285714285713,12.828571428571427,14.58095238095238
臺北,2011,13,22.428571428571427,15.614285714285714,19.026190476190475
臺北,2011,14,22.657142857142862,16.557142857142857,19.23630952380952
臺北,2011,15,24.642857142857142,18.74285714285714,21.49604037267081
臺北,2011,16,24.24285714285714,17.142857142857142,20.65348639455782
臺北,2011,17,28.228571428571428,21.442857142857143,24.563095238095233
臺北,2011,18,26.900000000000002,21.728571428571428,24.017261904761906
臺北,2011,19,28.328571428571426,22.857142857142858,25.625
臺北,2011,20,27.442857142857143,22.242857142857144,24.669642857142858
臺北,2011,21,25.54285714285714,21.27142857142857,23.463690476190475
臺北,2011,22,29.942857142857143,23.571428571428573,26.501190476190477
臺北,2011,23,33.557142857142864,26.571428571428566,29.526190476190475
臺北,2011,24,33.471428571428575,27.17142857142857,29.922619047619044
臺北,2011,25,32.82857142857143,26.371428571428574,29.445238095238096
臺北,2011,26,32.41428571428571,25.585714285714285,28.628571428571426
臺北,2011,27,33.25714285714286,27.057142857142857,29.808928571428574
臺北,2011,28,32.199999999999996,25.97142857142857,28.31607142857143
臺北,2011,29,34.128571428571426,27.314285714285713,30.18809523809524
臺北,2011,30,33.52857142857143,27.942857142857147,30.450595238095236
臺北,2011,31,33.542857142857144,26.842857142857145,29.989285714285707
臺北,2011,32,33.25714285714286,26.342857142857138,28.665476190476195
臺北,2011,33,34.17142857142857,27.414285714285715,30.445833333333333
臺北,2011,34,32.72857142857143,26.657142857142855,29.332142857142856
臺北,2011,35,31.88571428571428,25.88571428571429,28.547023809523807
臺北,2011,36,31.699999999999996,25.785714285714285,28.432142857142857
臺北,2011,37,31.3,25.7,28.163095238095234
臺北,2011,38,26.38571428571429,23.842857142857145,24.982738095238098
臺北,2011,39,29.585714285714282,25.714285714285715,27.383333333333333
臺北,2011,40,25.599999999999998,22.7,24.054761904761904
臺北,2011,41,28.5,24.128571428571433,25.752380952380957
臺北,2011,42,25.585714285714285,22.228571428571428,23.746428571428574
臺北,2011,43,25.52857142857143,20.999999999999996,22.99404761904762
臺北,2011,44,27.74285714285714,23.87142857142857,25.602380952380948
臺北,2011,45,22.8,20.485714285714288,21.510041407867497
